#  New Mexico March-May Precipitation
# Units: Inches
# Missing: -99
Date,Value
201505,3.99
201605,2.04
201705,2.2
201805,0.89
201905,2.86
202005,1.59
202105,2
202205,0.73
202305,2.31
202405,1.67
202505,2.17
