#  Arizona March-May Precipitation
# Units: Inches
# Missing: -99
Date,Value
201505,2.54
201605,1.43
201705,1.01
201805,0.63
201905,2.43
202005,2.85
202105,0.96
202205,0.6
202305,2.57
202405,2.22
202505,1.78
