#  South Carolina March-May Precipitation
# Units: Inches
# Missing: -99
Date,Value
201505,9.28
201605,10.19
201705,13
201805,13.79
201905,8.66
202005,16.04
202105,7.48
202205,11
202305,11.66
202405,13.61
202505,12.69
